field1,field2,field3,field4,field5,field6,X_impact
2.8214,1.8242,0.0,1.6711,-2.077,-1.8386,-2.08593
0.76657,0.0,1.9984,2.4708,3.5865,-1.1397,3.78692
2.7561,1.2482,0.0,1.8424,-2.8548,-4.4876,-2.8652
2.2777,0.47682,0.0,1.9914,-0.67915,-3.5905,-0.70278
0.67088,2.3768,1.996,0.0,-0.8152,3.0866,-0.87295
2.0506,0.11445,0.0,1.9739,-0.22737,-4.8389,-0.19367
2.8271,1.6325,0.0,1.7086,-2.5778,-2.7306,-2.54078
1.6345,2.8272,1.5563,0.0,-3.9262,3.7077,-3.83895
2.3981,1.9994,0.0,0.6058,-4.3448,-1.1054,-4.24454
0.094071,0.0,1.9254,1.9788,3.2854,-0.11745,3.61685
0.0,1.9912,2.2639,0.44772,0.6635,3.7193,0.56227
0.0,1.8779,2.738,1.2256,2.4439,4.0507,2.1777
1.8638,0.0,1.7129,2.8203,1.6088,-1.821,1.67687
1.8483,0.096921,0.0,1.8038,-0.07334,-2.1346,-0.07327
1.7231,2.8183,1.5047,0.0,-3.5932,3.0556,-3.53364
1.264,0.0,1.8577,2.754,4.0654,-2.5784,4.15698
0.0,1.0424,2.6653,1.9263,4.5887,2.2527,4.33
1.7922,2.7986,1.4198,0.0,-3.6261,2.7404,-3.55481
1.9254,0.0,1.4063,2.7543,1.6516,-2.5111,1.66587
2.3264,0.57191,0.0,1.9935,-0.74595,-3.3087,-0.8106
1.5326,2.827,1.6169,0.0,-4.1856,4.4498,-4.04003
0.0,1.7605,1.8073,0.10608,0.07257,1.9326,0.07765
0.013702,1.9647,1.9556,0.0,-0.025936,4.6511,-0.10719
2.1166,1.9806,0.0,0.20803,-4.5133,-0.38186,-3.88343
2.8199,1.4743,0.0,1.6809,-3.7896,-4.4072,-3.87416
1.9953,2.3025,0.5015,0.0,-3.7384,0.75234,-3.60446
0.49492,2.3318,1.9999,0.0,-0.96643,4.6578,-0.98705
0.0,0.47583,2.2809,1.9926,3.6653,0.69487,3.68543
0.0,1.9986,2.4678,0.76198,1.1311,3.5845,1.04003
2.7522,1.6336,0.0,1.9916,-1.1066,-1.5274,-1.13774
0.0,1.7079,2.8172,1.8816,1.7861,1.547,1.65478
2.1915,1.895,0.0,0.66838,-1.8718,-0.45523,-2.05453
0.0,0.87545,2.5113,1.9982,3.1317,1.1263,3.20897
0.0,1.9765,2.1324,0.24997,0.39927,4.0101,0.29935
1.1815,0.0,0.18915,1.2705,0.095175,-0.8876,0.09813
2.6778,1.9139,0.0,1.0586,-4.7925,-2.4245,-4.62548
0.28646,2.1881,1.9931,0.0,-0.5942,4.9848,-0.56077
0.28748,2.1636,1.9825,0.0,-0.47166,4.0929,-0.47917
0.0,0.39952,0.5878,0.24446,0.15216,0.26416,0.14179
0.38043,0.0,0.084914,0.44583,0.052725,-0.26433,0.10927
2.8149,1.8141,0.0,1.5873,-2.4572,-2.0599,-2.38849
1.9926,0.0,1.5445,2.6605,0.91458,-1.4031,1.02971
1.8868,0.014925,0.0,1.8789,-0.015738,-2.8566,-0.00684
1.7937,0.0,0.23746,1.8985,0.16198,-1.9214,0.23609
0.0,0.091896,2.0205,1.9615,4.332,0.16,3.95548
0.32958,2.2207,1.9959,0.0,-0.68678,4.9905,-0.65436
1.7878,2.8034,1.4496,0.0,-3.4372,2.6643,-3.38082
0.12934,0.0,1.9716,2.0564,4.5671,-0.24003,3.88878
1.9408,0.0,0.99631,2.641,2.1114,-4.5713,2.23985
0.0,1.6022,2.8279,1.6497,3.316,3.2015,3.26247
2.1301,0.36623,0.0,1.9399,-0.36652,-2.7046,-0.42185
0.0,1.9692,2.758,1.5545,1.2702,1.8133,1.16783
0.0,1.021,2.5894,1.9893,3.0041,1.2946,3.0027
0.0,1.9986,2.3361,0.53888,0.8574,3.9092,0.71956
2.5571,1.98,0.0,0.87034,-4.1215,-1.5702,-4.12493
1.6738,0.0,1.6204,2.8278,2.888,-3.0055,3.06456
0.0,1.9949,2.5984,1.0994,1.1684,2.5669,1.15768
2.5512,0.844,0.0,1.9778,-1.6473,-4.4209,-1.65229
2.3475,0.68739,0.0,1.9852,-0.69807,-2.6602,-0.81034
0.0,1.5199,2.8253,1.6459,4.2581,3.8841,4.14502
1.9913,0.0,1.0534,2.5947,1.2472,-2.8245,1.2908
0.60876,0.0,1.7623,2.016,1.506,-0.34466,1.68584
2.7792,1.4258,0.0,1.8729,-2.0062,-2.8447,-2.02334
1.85,2.7632,1.2971,0.0,-3.9046,2.5585,-3.81658
2.6239,1.9807,0.0,1.0822,-3.0004,-1.3963,-2.98466
0.0,1.9969,2.2512,0.37997,0.74351,4.7147,0.55513
1.8902,2.7268,1.2006,0.0,-4.0358,2.3565,-3.89299
2.8229,1.8575,0.0,1.943,-1.2156,-1.3131,-1.24997
1.8069,0.0,1.3704,2.7882,2.7859,-3.8704,2.94921
1.9639,2.5999,0.93431,0.0,-4.3048,1.8075,-4.00999
2.5774,1.973,0.0,1.4138,-1.4311,-0.82783,-1.48363
1.2626,0.0,1.8284,2.7634,4.6021,-2.9994,4.48861
0.65736,0.0,1.9986,2.4262,4.1742,-1.1525,4.02231
1.5503,2.8094,1.8235,0.0,-2.087,2.5793,-2.05818
1.3568,0.0,0.30362,1.4905,0.15191,-1.036,0.16257
0.0,1.9187,2.0444,0.24129,0.24388,2.744,0.19202
0.67868,0.0,1.9951,2.4508,4.4971,-1.3064,4.17847
0.0,0.27841,2.1605,1.9834,4.1977,0.47058,3.89044
0.0,0.09842,2.0123,1.9518,3.9163,0.15188,3.87864
0.0,1.5075,2.8234,1.6649,4.1856,3.7305,4.09932
0.3365,0.0,1.7054,1.846,1.5676,-0.19415,1.84352
0.0,1.9492,2.2241,0.55481,0.49304,2.4116,0.45755
1.5101,2.8254,1.6335,0.0,-4.1703,4.5615,-4.03024
2.7154,1.263,0.0,1.9374,-1.7172,-2.9606,-1.77297
1.7024,2.8283,1.7264,0.0,-2.2277,2.2695,-2.12793
0.0,1.9846,2.6297,1.1235,1.3224,2.7632,1.30384
1.9096,2.7472,1.3346,0.0,-2.9474,1.8681,-2.85533
0.0,1.6902,2.8169,1.4487,3.8767,4.625,3.69116
1.0672,2.6686,1.9318,0.0,-2.1025,4.2235,-2.21916
2.402,0.704,0.0,1.9982,-0.87505,-3.1303,-0.98174
1.9938,2.4755,0.7295,0.0,-4.252,1.3251,-3.92163
0.41209,0.0,1.8045,1.9824,1.7846,-0.2641,2.14745
0.18891,0.0,1.9176,2.0179,2.8632,-0.20043,3.37337
0.0,1.4637,2.8102,1.756,3.6347,2.9226,3.60386
1.4035,0.0,1.9893,2.6979,1.9564,-1.1747,2.07687
0.0,1.9233,2.6665,1.0393,2.3155,4.7099,2.04544
1.4974,0.0,1.9852,2.7282,1.8143,-1.1859,1.97452
2.7633,1.2701,0.0,1.8335,-2.886,-4.4243,-2.90234
0.39782,0.0,1.975,2.2025,3.2712,-0.50206,3.53838
1.6132,2.8274,1.5395,0.0,-4.396,4.1668,-4.18921
0.30679,0.0,1.9871,2.1836,4.2545,-0.52798,3.8648
