field1,field2,field3,field4,field5,field6,X_impact
1.9981,2.4966,0.83256,0.0,-3.3117,1.1373,-3.29636
2.0825,1.9679,0.0,0.18408,-4.0168,-0.29365,-3.74405
2.212,0.3709,0.0,1.9854,-0.5569,-3.7824,-0.59487
1.2949,0.0,1.1856,1.9027,0.62743,-0.72065,0.63191
1.5448,2.8148,1.7844,0.0,-2.3629,2.8362,-2.21973
1.9855,2.1197,0.1977,0.0,-4.9876,0.40825,-3.90308
2.7621,1.4258,0.0,1.9175,-1.6854,-2.5022,-1.64926
2.116,0.35125,0.0,1.9347,-0.34659,-2.6749,-0.45236
1.9947,2.4074,0.76491,0.0,-2.7378,0.81467,-2.69934
6.8099E-4,0.72386,0.72345,0.0,-3.7618E-4,0.53036,0.0954
0.36423,0.0,1.9947,2.2346,4.5315,-0.67897,3.96342
1.9996,2.6652,1.4055,0.0,-1.7628,1.0303,-1.70385
2.5906,1.9941,0.0,1.065,-2.6974,-1.1933,-2.61989
2.7921,1.4765,0.0,1.8569,-2.0232,-2.721,-1.96034
2.7182,1.157,0.0,1.8865,-2.5496,-4.5013,-2.5705
1.3236,2.7656,1.8581,0.0,-2.3815,3.5915,-2.28453
0.0,1.7755,2.3291,1.3184,0.6648,1.0982,0.68102
0.51301,2.0796,1.8539,0.0,-0.34446,1.8663,-0.39037
1.9921,2.2022,0.3182,0.0,-4.589,0.59986,-3.93881
0.12168,0.0,1.956,2.0309,3.9275,-0.18852,3.75063
1.9304,0.0,1.0548,2.666,2.1526,-4.362,2.15485
1.8811,2.776,1.4231,0.0,-2.7923,1.9496,-2.65389
2.3931,0.58153,0.0,1.9987,-1.1674,-4.7202,-1.10096
0.0,1.588,2.8178,1.7929,2.5579,2.1843,2.39606
0.44733,0.0,0.13517,0.54724,0.082282,-0.30721,0.06678
0.0,0.83941,2.554,1.9747,4.6166,1.7242,4.32673
0.0,1.534,2.8192,1.7385,3.2217,2.7643,3.20145
2.699,1.2002,0.0,1.9388,-1.7818,-3.2362,-1.76316
0.92938,2.5789,1.9789,0.0,-1.5364,3.7905,-1.46759
2.8277,1.5676,0.0,1.6283,-3.6869,-3.8544,-3.70808
2.4856,0.76034,0.0,1.9944,-1.2903,-3.9999,-1.28076
2.3362,2.0,0.0,0.50212,-4.6326,-0.97506,-4.0328
0.0,1.7879,2.7912,1.3627,3.0593,4.2042,2.95066
0.68476,2.4218,1.9999,0.0,-1.0266,3.656,-0.92883
0.0,1.9977,2.2839,0.43772,0.79435,4.4045,0.5721
1.1263,2.1672,1.6895,0.0,-0.56631,1.0873,-0.73825
2.7878,1.8153,0.0,1.3811,-3.6778,-2.6482,-3.68749
1.9962,2.2716,0.42681,0.0,-4.2676,0.74498,-3.91809
0.0,0.79713,2.4689,1.9998,3.2266,1.0465,3.26698
1.9693,0.0,0.22312,2.106,0.33947,-3.856,0.27172
2.765,1.8168,0.0,1.253,-4.961,-3.2448,-4.6007
1.9678,0.0,0.2583,2.1219,0.36585,-3.6282,0.29735
1.9967,2.6013,1.1296,0.0,-2.4266,1.128,-2.27513
1.9347,2.6604,1.0458,0.0,-4.3209,2.1033,-4.15562
2.6461,1.9496,0.0,1.0376,-3.9855,-1.8847,-3.82072
1.9954,0.0,1.4412,2.6944,1.1023,-1.8027,1.0303
1.9015,0.0,1.1271,2.7032,2.4151,-4.4426,2.44928
1.058,2.6783,1.9128,0.0,-2.4455,4.8303,-2.37914
1.974,0.0,0.23354,2.1193,0.37059,-3.9914,0.30299
1.1899,2.6936,1.9425,0.0,-1.7549,3.2305,-1.65185
1.1411,1.3168,0.35661,0.0,-0.80543,0.18176,-0.6886
0.0,1.8859,2.7324,1.2163,2.3679,3.9873,2.28086
2.7668,1.2676,0.0,1.8205,-3.0974,-4.7,-3.0792
2.085,0.18396,0.0,1.9696,-0.29983,-4.0894,-0.36148
0.0,1.9868,2.5538,0.89596,1.4075,3.6629,1.21159
1.9511,2.6679,1.1188,0.0,-3.45,1.7454,-3.38461
1.9215,0.0,0.82824,2.288,0.55565,-1.8143,0.51559
1.8684,0.0,1.1982,2.7357,2.6746,-4.4838,2.74437
1.7635,2.8008,1.3963,0.0,-4.1987,3.1963,-4.1128
1.8791,0.0,1.135,2.7162,2.7586,-4.917,2.79334
2.105,1.9749,0.0,0.20475,-4.2092,-0.34578,-3.76231
0.0,0.24634,2.1077,1.9627,3.5262,0.33686,3.50216
0.0,0.073709,2.0146,1.9658,4.6909,0.14102,3.85941
2.8259,1.6914,0.0,1.5845,-3.172,-2.929,-3.2346
2.2265,0.42416,0.0,1.9808,-0.55259,-3.3513,-0.60812
0.0,1.2475,2.611,2.0,1.9907,1.007,1.90715
1.1821,0.0,1.9611,2.4763,1.6149,-0.74322,1.67474
0.0,0.36088,2.2162,1.9891,4.0545,0.58869,3.7627
1.8899,0.0,1.1965,2.726,2.3734,-4.0765,2.41767
1.7466,0.0,0.11024,1.7947,0.073348,-1.8766,0.04704
2.6554,1.0207,0.0,1.9315,-2.22,-4.6408,-2.22701
0.0,1.9066,2.7257,1.2304,2.0836,3.551,1.95897
0.0,1.8059,1.9832,0.41022,0.26377,1.7914,0.29183
2.8001,1.3704,0.0,1.748,-3.5982,-4.7547,-3.52626
0.0,1.6678,2.805,1.9141,1.7924,1.4591,1.65438
1.947,0.0,1.2896,2.715,1.6012,-2.7373,1.55829
0.0,1.5132,2.482,1.8506,1.0901,0.76375,1.11833
1.9379,2.0151,0.13438,0.0,-3.3787,0.17371,-3.49963
1.5597,2.827,1.6423,0.0,-3.5844,3.8083,-3.57062
1.9578,0.0,0.60863,2.2601,0.54185,-2.4034,0.50102
2.5478,0.82243,0.0,1.9748,-1.7476,-4.7651,-1.69729
1.5444,0.0,1.606,2.8277,4.4155,-4.2223,4.38723
1.1441,0.0,1.9895,2.5213,1.875,-0.83641,1.92617
0.0,1.0983,2.543,1.9986,2.1405,0.92912,2.01274
1.995,0.0,0.75476,2.4813,1.272,-3.9808,1.24642
1.2722,0.14233,0.0,1.2065,-0.071363,-0.92589,-0.04355
1.9745,2.3814,0.84485,0.0,-2.1675,0.68886,-2.09715
0.0013436,0.0,1.8975,1.8982,3.1435,-0.001589,3.67144
0.96414,2.4691,1.9922,0.0,-0.82507,2.2169,-0.87816
2.1592,0.3625,0.0,1.9598,-0.41602,-3.0318,-0.50864
1.1928,2.7232,1.894,0.0,-2.3285,4.0294,-2.2585
0.0,0.64592,0.67076,0.038819,0.022019,0.46442,0.1036
1.9926,0.0,0.78996,2.5022,1.3296,-3.953,1.30729
0.0,0.96649,2.4831,1.9956,2.2962,0.86338,2.20175
0.0,1.9978,2.3016,0.47377,0.80997,4.1767,0.60678
0.1823,1.1657,1.0749,0.0,-0.093171,0.78919,-0.00178
0.0,1.9418,2.7225,1.3058,1.6299,2.7326,1.37382
0.90694,2.5806,1.9723,0.0,-1.6839,4.1874,-1.62215
1.4637,0.0,1.6793,2.8192,4.5757,-3.9094,4.51114
1.0031,2.4778,1.9908,0.0,-0.81993,2.1189,-0.88503
0.0,1.7476,2.7991,1.362,3.6716,4.8796,3.55047
0.25966,1.8309,1.7212,0.0,-0.15634,1.6653,-0.16634
2.8127,1.8075,0.0,1.5565,-2.6381,-2.1741,-2.55404
1.9578,2.7887,1.6684,0.0,-1.6362,1.2737,-1.63195
1.9964,2.2857,0.45455,0.0,-4.1127,0.76118,-3.86088
2.6655,1.6789,0.0,1.9675,-0.88234,-1.1759,-0.89697
0.0,1.8172,2.1668,0.83903,0.47143,1.4654,0.4572
1.6372,0.0,1.9331,2.794,1.7991,-1.4025,1.84863
0.0,1.1069,2.6329,1.9796,2.9301,1.397,2.89723
2.1503,0.54487,0.0,1.9007,-0.40391,-2.0532,-0.48119
2.8258,1.6519,0.0,1.5378,-3.9636,-3.6461,-3.95459
2.8205,1.7179,0.0,1.525,-3.4606,-2.9984,-3.52356
1.9849,0.0,0.21285,2.1273,0.41993,-4.7952,0.335
1.7768,0.0,1.343,2.7906,3.3346,-4.6045,3.38928
0.0,1.4895,2.8129,1.7566,3.4157,2.7968,3.44748
1.2087,2.3769,1.8752,0.0,-0.65271,1.3251,-0.82555
2.2685,0.51293,0.0,1.9819,-0.6066,-3.0718,-0.65792
0.0,1.9767,2.5643,0.87679,1.6317,4.2222,1.42253
0.0,1.1637,2.5739,1.9997,2.0787,0.9665,1.96872
2.7948,1.4812,0.0,1.8492,-2.068,-2.7518,-2.00414
1.9085,2.0457,0.27236,0.0,-2.5637,0.25446,-2.92103
1.3078,2.7635,1.8553,0.0,-2.4598,3.7435,-2.37226
1.0891,2.648,1.9632,0.0,-1.6244,3.3572,-1.53237
0.0,0.94394,2.6162,1.9507,4.7144,2.0437,4.46883
0.0,0.3116,2.2027,1.9934,4.7972,0.61886,3.94164
0.0,1.6136,1.6492,0.085599,0.048437,1.5294,0.05276
1.9682,2.0649,0.15207,0.0,-4.2282,0.25764,-3.7412
1.8915,0.0,1.6318,2.8058,1.5937,-1.9701,1.55283
1.1615,2.6997,1.9229,0.0,-2.0294,3.7259,-1.95058
2.7434,1.9465,0.0,1.4124,-2.3252,-1.4986,-2.29362
0.0,1.5644,2.8206,1.7491,2.9366,2.5543,2.88472
2.6741,1.9943,0.0,1.3559,-1.9786,-1.1288,-2.02417
0.0,1.9994,2.4628,0.84169,0.93344,2.7959,0.74324
1.6206,2.8268,1.7042,0.0,-2.6576,2.8304,-2.51781
2.8065,1.425,0.0,1.7515,-3.1827,-4.0548,-3.24445
0.0,1.4697,2.8219,1.653,4.9024,4.2915,4.77473
0.19026,0.0,1.9779,2.1019,4.478,-0.34571,3.7959
0.0,1.9975,2.5107,0.86215,1.1559,3.2448,0.92432
2.8049,1.8075,0.0,1.4902,-2.9995,-2.3546,-2.99246
2.7355,1.182,0.0,1.8598,-2.8837,-4.8527,-2.85798
1.7489,2.7979,1.9689,0.0,-1.1892,1.4471,-1.31962
1.6731,2.8284,1.6548,0.0,-2.7611,2.7235,-2.64679
2.6721,1.9335,0.0,1.0841,-4.0485,-2.0398,-3.88512
1.787,2.8209,1.9101,0.0,-1.3669,1.5199,-1.47249
1.1684,0.0,1.8988,2.7149,4.135,-2.3311,4.13243
1.334,0.0,1.8952,2.7536,3.1005,-1.9953,3.09801
1.8375,2.7569,1.2444,0.0,-4.6263,2.9485,-4.3781
0.0,1.8526,2.7603,1.2868,2.5627,3.9515,2.48
1.8054,0.0,1.3013,2.7771,3.1466,-4.5929,3.21039
0.45386,0.0,1.9891,2.2605,3.5701,-0.6404,3.65886
