0;1,9381;2,6595;1,0515;2,0368;4,1836
0;0,44305;2,2411;1,9834;3,371;0,5824
0,93881;0;1,9926;2,4616;2,273;-0,82359
2,8122;1,7057;0;1,4188;-4,8057;-3,8955
0;1,0363;1,8897;1,3975;0,83746;0,52744
1,53;0;1,6389;2,8261;4,2088;-3,8872
2,7598;1,849;0;1,278;-4,0832;-2,6398
1,9831;0;0,38362;2,2128;0,54561;-3,6135
0,8962;0;1,9713;2,5783;4,308;-1,7176
2,6648;1,9654;0;1,1571;-3,0055;-1,5356
0;1,9687;2,0627;0,147;0,2532;4,2876
1,5693;2,8278;1,6234;0;-3,7326;3,8832
0;1,7612;2,8188;1,5583;2,4873;2,9004
2,6146;0,9635;0;1,9588;-1,8533;-4,2553
2,367;1,9956;0;0,65124;-3,1283;-0,80203
0,50893;0;2;2,3455;4,804;-1,0328
1,0489;0;1,9953;2,5093;2,1283;-0,87069
0;1,7996;2,778;1,2983;3,2565;4,7395
1,8933;0;1,4411;2,7749;1,8322;-2,621
1,9466;0;1,0588;2,6548;1,894;-3,9142
0;1,9432;2,0926;0,27404;0,30876;3,0003
2,7764;1,3011;0;1,8078;-3,1115;-4,5519
0,037384;1,983;1,9585;0;-0,069843;4,5996
0;1,9801;2,2651;0,51462;0,5954;3,0164
0;1,7851;2,7869;1,3309;3,2828;4,606
1,7278;2,8234;1,5794;0;-2,9713;2,6575
0;1,4769;1,7157;0,5529;0,27746;1,0823
0;1,8356;2,7537;1,2255;3,0781;4,8904
1,8928;2,3548;1,1018;0;-1,449;0,62556
0,07288;0;0,66945;0,71553;0,47755;-0,041119
1,7818;0;1,6169;2,8214;2,1744;-2,4696
2,8282;1,6284;0;1,6576;-2,9749;-3,0404
0,13308;0;1,5826;1,6377;1,4376;-0,072655
1,9507;2,6068;0,91536;0;-4,9991;2,1088
0;1,9677;2,012;0,0658;0,13177;4,8762
1,9508;0;1,0997;2,4306;0,69829;-1,6538
2,7203;1,8748;0;1,1437;-4,9296;-2,7983
0,90296;0;1,9796;2,569;3,9247;-1,5472
1,7269;0;1,4512;2,8129;3,3319;-4,0839
0;1,1239;2,629;1,985;2,7517;1,316
1,0146;0;1,9935;2,5765;2,8814;-1,2181
0,77245;2,488;1,9951;0;-1,2637;3,8736
2,3102;1,9937;0;0,53289;-3,4769;-0,73473
0,87334;2,5509;1,9842;0;-1,4774;3,9077
1,97;0;1,2015;2,6717;1,451;-2,7577
0;1,3147;2,7775;1,8126;4,3194;2,9693
1,6776;2,8224;1,5048;0;-4,0668;3,5828
0,80311;0;1,9846;2,3895;2,3878;-0,72904
1,9993;2,3163;0,48163;0;-4,4473;0,8886
1,86;0;1,2577;2,7519;2,5716;-4,083
2,1279;0,40041;0;1,9279;-0,36511;-2,4942
