2,8214;1,8242;0;1,6711;-2,077;-1,8386
1,5524;2,8267;1,6434;0;-3,6308;3,8808
0,76657;0;1,9984;2,4708;3,5865;-1,1397
2,7561;1,2482;0;1,8424;-2,8548;-4,4876
2,7446;1,2207;0;1,8585;-2,7336;-4,4583
0;1,6771;2,8157;1,8704;1,908;1,6297
2,8171;1,7815;0;1,5654;-2,7371;-2,3204
1,9709;0;0,082537;2,0265;0,16733;-4,9261
1,3634;0;1,8462;2,7766;3,4551;-2,387
0,83998;0;1,901;2,2651;1,7132;-0,53417
1,5918;2,8277;1,65;0;-3,2662;3,4095
1,6885;2,823;1,5266;0;-3,7141;3,2962
2,1866;1,9777;0;0,35281;-3,539;-0,48802
0;1,6581;2,7049;1,9954;1,3032;0,94308
1,7938;0;1,4819;2,8064;2,4927;-3,1571
1,57;0;1,5859;2,8284;4,2845;-4,2354
1,992;0;0,35029;2,2187;0,62001;-4,3434
1,4901;0;1,9661;2,5939;1,3323;-0,83241
2,2777;0,47682;0;1,9914;-0,67915;-3,5905
0,67088;2,3768;1,996;0;-0,8152;3,0866
2,2196;0,79667;0;1,878;-0,4936;-1,6712
1,9902;2,4979;0,76215;0;-4,3089;1,4161
1,9775;2,7326;1,4766;0;-1,9208;1,2494
0;0,23967;1,2046;1,0849;0,78432;0,12263
2,826;1,7713;0;1,6776;-2,2307;-2,0734
0,35088;2,2041;1,9862;0;-0,55134;3,9331
1,7173;2,7862;1,9777;0;-1,1637;1,4688
0;1,9538;2,6213;0,96889;1,935;4,383
1,5614;2,818;1,7713;0;-2,4033;2,8195
0,056754;1,967;1,9334;0;-0,079319;3,6091
2,0506;0,11445;0;1,9739;-0,22737;-4,8389
0;0,029316;1,1635;1,1498;0,89986;0,014732
2,756;1,2675;0;1,8539;-2,6145;-4,0958
1,2546;0;1,911;2,729;3,3428;-1,9887
0;1,8088;2,7793;1,3191;3,0006;4,336
2,8271;1,6325;0;1,7086;-2,5778;-2,7306
2,1373;1,9847;0;0,23115;-4,6257;-0,43741
1,6345;2,8272;1,5563;0;-3,9262;3,7077
0;1,9833;2,2097;0,37602;0,54252;3,6585
